source,year,isolate_id,species_id,MDR,antibiotic,abx_class,zone_diameter,phenotype
Retail sushi,2015.0,SU2,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU2,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,32,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,44,S
Retail sushi,2015.0,SU2,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,37,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Ciprofloxacin CIP1,Quinolones,39,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Oxolinic acid OA,Quinolones,32,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Doxycycline DO30,Tetracylines ,24,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Tetracycline TE30,Tetracylines ,28,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Imipenem IPM10,Carbapenemems,20,I
Retail sushi,2015.0,SU2,A. salmonicida,0,Meropenem MEM10,Carbapenemems,37,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Gentamycin  GM10,Aminoglycosides ,17,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Tobramycin TOB30,Aminoglycosides ,20,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Erythromycin  EM15,Macrolides,17,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Florfenicol  FEC30,Amphenicols,34,S
Retail sushi,2015.0,SU2,A. salmonicida,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,24,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU4-2,A. caviae,0,Mecillinam MEL10,Beta-lactams,28,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Cefotaxime CTX30,Cephalosporins ,26,S
Retail sushi,2015.0,SU4-2,A. caviae,0,ceftriaxone CRO30,Cephalosporins ,30,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Ciprofloxacin CIP1,Quinolones,31,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Doxycycline DO30,Tetracylines ,21,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Tetracycline TE30,Tetracylines ,30,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Imipenem IPM10,Carbapenemems,27,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Meropenem MEM10,Carbapenemems,36,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Tobramycin TOB30,Aminoglycosides ,18,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Erythromycin  EM15,Macrolides,14,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Florfenicol  FEC30,Amphenicols,29,S
Retail sushi,2015.0,SU4-2,A. caviae,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,14,I
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Cefotaxime CTX30,Cephalosporins ,41,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,ceftriaxone CRO30,Cephalosporins ,36,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Ciprofloxacin CIP1,Quinolones,40,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Oxolinic acid OA,Quinolones,34,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Doxycycline DO30,Tetracylines ,28,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Tetracycline TE30,Tetracylines ,32,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Imipenem IPM10,Carbapenemems,22,I
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Meropenem MEM10,Carbapenemems,29,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Gentamycin  GM10,Aminoglycosides ,21,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Tobramycin TOB30,Aminoglycosides ,20,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Erythromycin  EM15,Macrolides,19,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Florfenicol  FEC30,Amphenicols,35,S
Retail sushi,2015.0,SU6-2,A. bestiarum,0,Trimethoprim/sulfamethoxazole  STX 25,Amphenicols,29,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Ampicillin AMP10,Beta-lactams,0,R
Retail sushi,2015.0,SU12,A. salmonicida,0,Mecillinam MEL10,Beta-lactams,30,S
Retail sushi,2015.0,SU12,A. salmonicida,0,Cefotaxime CTX30,Cephalosporins ,43,S
Retail sushi,2015.0,SU12,A. salmonicida,0,ceftriaxone CRO30,Cephalosporins ,39,S
