strain,species,TP,FP,TN,FN,concordance
SU4-2,A. caviae,1,1,10,3,73.33333333333333
A533,A. dhakensis,1,2,10,2,73.33333333333333
A537,A. hydrophila,1,2,10,2,73.33333333333333
A539,A. rivipollensis,2,1,12,0,93.33333333333333
SU3,A. rivipollensis,1,0,10,4,73.33333333333333
SC42,A. rivipollensis,1,0,12,2,86.66666666666667
OY1,A. rivipollensis,1,0,12,2,86.66666666666667
OY52,A. media,1,0,12,2,86.66666666666667
SU6-2,A. bestiarum,1,1,13,0,93.33333333333333
SL22,A. bestiarum,2,0,12,1,93.33333333333333
SU58-3,A. bestiarum,1,1,13,0,93.33333333333333
LJP308,A. piscicola,1,1,12,1,86.66666666666667
SU2,A. salmonicida,1,1,10,3,73.33333333333333
SL19,A. salmonicida,2,0,12,1,93.33333333333333
SL21,A. salmonicida,2,0,12,1,93.33333333333333
SC45,A. salmonicida,2,0,12,1,93.33333333333333
OY56,A. salmonicida,1,1,11,2,80.0
OY59,A. salmonicida,3,0,10,2,86.66666666666667
LJP441,A. salmonicida,1,1,13,0,93.33333333333333
