,Msh type IV pili,Tap type IV pili,Flp type IV,Lateral flagella,Polar flagella,T2SS,T3SS,T6SS,aerA/act,ast,ahh1,hlyA,hemIII,th,RTX,toxA,capsule,O-antigen
LJP308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A.piscicola_LMG_24783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
SU58-3,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
SU6,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
SL22,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
A.bestiarum GA97_22,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
OY59,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
SU2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1
OY56,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
SL21,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
LJP441,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
SC45,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
SL19,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
A.salmonicida_O23A,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0
SU4,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
A.caviae_1605_27183,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
A537,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
A.hydrophila_AH10,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
A.dhakensis_Aer_OnlF1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1
A536,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1
A533,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1
OY52,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1
A.media_R1_18,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1
SC42,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1
OY1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0
A539,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1
SU9,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1
SU3,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1
SU15,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1
