strain,Adherence,Antiphagocytosis,Biofilm formation,Copper uptake,Endotoxin,Glycosylation system,Immune evasion,Iron uptake,O-antigen,Secretion system,Serum resistance,Stress adaptation,Toxin
ATCC7966,113,0,0,0,0,0,0,0,0,40,0,0,12
A449,146,0,0,0,0,0,0,0,0,30,0,0,5
A533,102,1,0,0,0,0,1,1,0,40,0,0,12
A537,99,1,0,0,0,0,0,2,0,38,0,0,12
SU4,94,0,0,0,0,0,0,0,0,16,1,1,3
A539,99,0,0,0,0,0,0,0,2,15,1,1,3
SU3,129,1,0,0,0,0,0,0,0,40,1,1,4
OY1,137,1,0,0,0,0,0,0,0,39,0,1,4
SC42,129,0,0,0,0,0,0,0,2,15,0,1,4
OY52,86,2,0,0,0,1,0,0,0,40,0,1,3
SU6,116,3,0,0,0,0,1,0,0,39,0,0,12
SU58-3,116,0,1,0,0,0,1,0,0,22,0,0,13
SL22,139,1,0,0,0,0,0,0,0,72,0,0,6
LJP308,153,1,0,0,0,0,0,0,0,71,0,0,7
SL19,116,0,0,0,0,0,0,0,0,36,0,0,12
SL21,110,2,0,0,0,0,0,0,0,37,0,0,13
OY56,117,6,0,0,1,0,1,0,1,34,0,0,12
OY59,152,4,0,0,0,0,0,0,0,71,0,0,6
SC45,117,0,0,0,0,0,0,0,0,36,0,0,12
SU2,153,0,0,0,0,1,0,0,2,36,1,0,11
LJP441,154,0,0,0,0,0,0,0,0,35,0,0,12
