strain,species,vf_score,is_ref
A.caviae_1605_27183,A. caviae,8,ref
SU4,A. caviae,8,isolate
A.media_R1_18,A. media,9,ref
OY52,A. media,10,isolate
OY1,A. rivipollensis,11,isolate
SC42,A. rivipollensis,11,isolate
A539,A. rivipollensis,11,isolate
SU9,A. rivipollensis,12,isolate
SU15,A. rivipollensis,12,isolate
SU3,A. rivipollensis,12,isolate
A.salmonicida_O23A,A. salmonicida,13,ref
A.hydrophila_AH10,A. hydrophila,13,ref
A.dhakensis_Aer_OnlF1,A. dhakensis,13,ref
A536,A. dhakensis,13,isolate
A533,A. dhakensis,13,isolate
SU6,A. bestiarum,14,isolate
SL22,A. bestiarum,14,isolate
SU2,A. salmonicida,14,isolate
SU58-3,A. bestiarum,14,isolate
SC45,A. salmonicida,14,isolate
A537,A. hydrophila,14,isolate
LJP441,A. salmonicida,14,isolate
SL21,A. salmonicida,15,isolate
SL19,A. salmonicida,15,isolate
A.bestiarum GA97_22,A. bestiarum,16,isolate
OY56,A. salmonicida,16,isolate
OY59,A. salmonicida,16,isolate
A.piscicola_LMG_24783,A. piscicola,16,ref
LJP308,A. piscicola,17,isolate
